MSOA11CD,street_length,median_ebc,msoa_area,street_density
E02000970,38341.14199999998,16679.0,1093392.8262869427,0.01319651379058601
E02000971,20492.02899999998,14444.0,540861.6983795486,0.00705308525488334
E02000972,48429.648000000096,21502.0,1289096.0904869288,0.016668844076298713
E02000973,14985.891000000005,4851.0,543962.8024703232,0.005157945406157149
E02000974,24946.88399999998,7241.0,690001.3332107665,0.008586387404374899
E02000975,18172.746999999996,6238.0,484680.21188517497,0.006254819076550474
E02000976,14032.98399999999,3853.5,461826.688407167,0.004829967424524621
E02000977,94672.11199999995,29907.0,2518770.3843650804,0.03258488835809594
E02000978,111760.94099999986,21544.0,3589007.127056187,0.038466637200200465
E02000979,46183.26699999998,14225.0,1397778.1684348595,0.015895669457623766
E02000980,18633.414000000015,3899.0,446786.73316362523,0.0064133745629355214
E02000981,11730.052000000001,5922.0,363726.3578380429,0.004037328699867394
E02000982,25555.412999999975,4644.0,656821.1623415911,0.00879583503482032
E02000983,16018.581000000004,2655.0,374386.3133141145,0.005513383640792942
E02006801,43037.827999999965,8358.5,1138728.9809727888,0.014813050970648412
E02006802,25490.767000000003,10476.0,691175.2846399547,0.008773584736941717
E02006853,12149.902999999997,2706.0,500908.20448802056,0.004181835859082716
E02006854,32523.939999999962,5224.0,917334.6610513083,0.011194309828700243
