MSOA11CD,street_length,median_ebc,msoa_area,street_density
E02000001,140254.53800000015,34574.0,2905399.3053340632,0.0482737562931556
E02000180,13919.782000000001,4252.0,485620.80504751136,0.004791004793883057
E02000183,25426.07600000002,4194.5,769139.838209254,0.008751318950658497
E02000184,19658.594000000005,4947.0,666096.2965925384,0.006766227954934978
E02000186,27018.660000000003,10242.0,1001597.0569746919,0.009299465292221991
E02000187,29618.667000000016,7536.5,964297.9253673173,0.010194353301325119
E02000188,19019.601999999988,5680.0,507415.3767194451,0.006546295362940865
E02000189,11154.359000000011,3846.5,294951.2561481058,0.0038391827861738548
E02000190,15066.96099999999,6806.0,373734.2173824049,0.005185848627532314
E02000191,27310.280999999977,11732.0,646202.1053187288,0.009399837382028918
E02000192,14200.422999999993,6966.0,432517.60432250425,0.004887597712964699
E02000193,46333.14300000015,19727.0,1086528.7794628777,0.01594725479383728
E02000362,40385.32299999999,5119.0,1295374.3043427719,0.013900093844538343
E02000364,18927.724000000002,6064.0,665334.5461563844,0.006514672170964703
E02000365,30697.646999999986,8473.0,969340.0081837999,0.010565723941504958
E02000366,20459.594999999998,5737.0,640232.7921009675,0.007041921901212663
E02000367,23630.50999999998,4800.5,741106.8999371061,0.00813330889031893
E02000368,23454.704,4504.0,635951.293865983,0.008072798791181364
E02000369,24164.756000000016,6045.0,649303.0080996908,0.008317189294991433
E02000370,17960.633,5485.0,487766.35214322596,0.006181812244198525
E02000371,35463.20800000005,16202.0,996679.2183050256,0.012205966985292744
E02000372,24428.849000000002,2840.0,1091690.0517158057,0.008408086611417141
E02000375,23736.049999999992,3459.0,747495.3799107076,0.008169634361935258
E02000378,7522.401999999998,4509.0,293825.6777433414,0.002589111240644105
E02000381,13759.176,3531.5,548685.7354416249,0.0047357263336365975
E02000382,20552.483000000015,3443.0,624426.9602329052,0.007073892721825679
E02000383,14524.524999999989,3491.5,601784.67995594,0.0049991493332204665
E02000384,23602.30500000003,2487.0,777015.5998891792,0.008123601102495008
E02000385,14682.489000000003,2542.5,401862.0868501413,0.0050535184520228305
E02000386,13768.93600000001,3064.5,442886.39534540096,0.004739085596503527
E02000387,14172.955999999991,2341.5,407380.32149863156,0.004878143934976395
E02000388,15586.789000000015,4087.0,532893.2231000686,0.005364766547367177
E02000389,16624.121999999996,3004.5,630162.9233020575,0.005721802841172137
E02000390,10136.323999999999,3752.5,346063.07180261606,0.0034887886086399826
E02000391,18235.583000000006,4540.0,667745.3405305748,0.006276446396376926
E02000392,15873.152000000006,3615.5,554112.966248098,0.005463328903141907
E02000393,9545.496,1488.0,355927.4129143276,0.0032854334281953224
E02000394,21626.269999999997,3492.0,650824.8923696938,0.007443476000113315
E02000395,23260.66599999996,3104.0,953729.5689269758,0.008006013478868595
E02000396,17468.041,2517.0,622410.9995492394,0.0060122685952083005
E02000572,15156.036000000006,7283.0,463703.48214493104,0.005216507063994552
E02000573,22173.682,6893.0,721446.2252275296,0.007631887967788464
E02000574,19552.300000000003,9018.0,607574.4257846461,0.0067296429664947125
E02000575,32610.049999999996,13616.0,929760.5294260659,0.01122394775139195
E02000576,24731.151000000013,17742.0,755958.4960933923,0.008512134960105396
E02000577,18040.665,3308.0,643705.8207500959,0.006209358199707315
E02000579,14759.738000000008,3559.0,613713.3824200224,0.005080106535753071
E02000580,13458.733000000004,2880.5,396191.1918825265,0.004632317828152202
E02000581,14573.379000000008,3750.0,432589.7049922787,0.005015964233640635
E02000582,11945.125,4603.0,486588.85690392135,0.004111353980869266
E02000583,17301.937999999995,7415.5,574400.3018833183,0.005955098140291809
E02000584,21903.915000000015,4113.5,915217.8547197537,0.007539037735634586
E02000585,20259.485999999997,4922.0,907992.0572061585,0.006973047031024384
E02000586,15189.953000000003,4960.5,520856.58226650965,0.005228180846643887
E02000587,14061.970999999989,5576.0,522102.9865649344,0.004839944366402036
E02000588,26099.809999999965,13990.5,766246.501316364,0.008983209279386471
E02000589,12306.935000000005,4409.0,374340.5398102347,0.0042358841958162275
E02000590,17313.712000000003,7392.5,460274.7738766395,0.00595915059531181
E02000591,10597.405999999994,2435.0,357875.1319519282,0.0036474869325342192
E02000592,20326.00299999999,7754.0,567992.8854713743,0.006995941302348078
E02000593,10582.161000000002,4726.0,496650.08866913075,0.0036422398052384968
E02000594,24451.355999999985,5657.0,775777.4144784395,0.008415833223030444
E02000595,24735.664999999986,7971.5,634689.8325738908,0.00851368861918134
E02000596,14332.466999999999,5083.0,548488.6101857229,0.004933045510710635
E02000597,19946.46899999999,3674.0,396428.6503019425,0.006865310721104665
E02000619,22002.802,5700.5,544158.6335580332,0.007573073332675735
E02000620,21929.11200000001,6111.0,724706.4931968095,0.007547710209656912
E02000621,22776.265999999963,5825.0,725055.7826273438,0.007839289407891265
E02000622,23848.28400000001,6125.0,778035.6857021414,0.008208263819784293
E02000623,14471.865000000013,5263.0,457994.99674646975,0.0049810244579569195
E02000624,21909.259000000016,5189.0,575084.9560133499,0.007540877069728936
E02000625,20133.98100000001,3652.0,556973.710770279,0.00692984987056194
E02000628,20967.324999999968,6131.0,654826.208917493,0.007216675849514303
E02000629,17675.602999999996,5800.5,635526.8430535425,0.006083708689387069
E02000630,19975.660999999986,3967.0,679358.3061884248,0.006875358221269755
E02000633,18127.024000000005,2966.5,631180.3574899072,0.0062390818249045315
E02000726,99539.99299999993,15552.0,3349796.609117277,0.03426034859210335
E02000808,37370.818,11062.0,1046641.667767501,0.01286254110799517
E02000809,31935.766999999985,7644.5,758420.5072681791,0.01099186846412769
E02000810,24951.501000000004,6253.0,680628.9162762923,0.008587976514688083
E02000812,24388.73200000001,13191.0,705511.6502147495,0.008394278870799066
